Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
25,123004,Tiago,BAH,Atacante,mandante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
25,123717,Zé Guilherme,BAH,Lateral,mandante,5.0,,,,,,,1.0,,,,,,,,,,,,,
25,123738,Herrera,FOR,Atacante,mandante,3.2,2.0,,,,,1.0,,,,,,,,,,,,,,
25,124280,Ricardo Mathias,INT,Atacante,visitante,-0.6,,,,2.0,,,,,,,,,,,,,,,,
25,124481,Mateo Ponte,BOT,Lateral,visitante,0.0,,,,,,,,,,,,,,,,,,,,
25,124526,Giay,PAL,Lateral,visitante,-0.5,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,
25,124661,Iván Román,CAM,Zagueiro,mandante,6.5,,,,,1.0,,1.0,,,,,,,,,,,,,
25,124912,Jonathan Jesus,CRU,Zagueiro,visitante,3.6,,,,3.0,3.0,,,,,,,,,,,,,,,
25,125488,João Pedro,COR,Zagueiro,mandante,4.2,,,,1.0,3.0,,,,,,,,,,,,,,,
25,126216,Derik Lacerda,SPT,Atacante,visitante,4.9,3.0,,1.0,2.0,2.0,,,,,1.0,,,,,,,,,,
25,126471,Barreal,SAN,Meia,visitante,9.2,1.0,,,,,,,,1.0,,,,,,,,,,,
25,126977,Fernando Seabra,RBB,Técnico,mandante,5.09,,,,,,,,,,,,,,,,,,,,
25,130048,Noriega,GRE,Meia,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
25,130811,Souza,SAN,Lateral,visitante,3.7,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
25,132071,Serna,FLU,Atacante,mandante,4.3,1.0,1.0,,1.0,2.0,,,,,1.0,,,,,,,,,,
25,132264,Arroyo,CRU,Atacante,visitante,1.7,1.0,1.0,,,,,,,,,,,,,,,,,,
25,132553,Jemmes,MIR,Zagueiro,visitante,8.0,,,,1.0,5.0,1.0,,,,,,,,,,,,,,
25,132580,Vinicinho,RBB,Atacante,mandante,1.9,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
25,133543,Gui Negão,COR,Atacante,mandante,7.8,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
25,133669,Alysson,GRE,Atacante,mandante,3.3,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,,
25,136306,Luis Otávio,INT,Meia,visitante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
25,136955,Sanabria,BAH,Atacante,mandante,3.2,,4.0,,1.0,1.0,,,,,,,,,,,,,,,
25,139076,Filipe Luís,FLA,Técnico,visitante,5.9,,,,,,,,,,,,,1.0,,,,,,,
25,141451,Allan,PAL,Meia,visitante,0.8,,,,,,1.0,,,,,,,,,,,,,,
25,141609,Lucca,SAO,Atacante,mandante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
